id,rating,comment,categories,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Другое
3856028,1,свершилось,Другое,0,0,0,0,0,1
3859764,5,спасибо мастеру,Нравится качество работы сотрудников,0,0,1,0,0,0
3859780,5,спасибо вам среагировали оперативно быстро а так же всё время были на связи,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3860248,5,среагировали быстро благодарю,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3862448,5,отличный мастер,Нравится качество работы сотрудников,0,0,1,0,0,0
3863351,5,спасибо по крайней мере по ночам пока шума не слышно,Понравилось выполнение заявки,0,0,0,0,1,0
3863609,5,быстро,Нравится скорость отработки заявок,0,0,0,1,0,0
3866829,5,спасибо за своевременное выполнение заявки,Нравится скорость отработки заявок,0,0,0,1,0,0
3866867,5,все сделали быстро спасибо,Нравится скорость отработки заявок,0,0,0,1,0,0
3868883,5,всё отлично,Вопрос решен,1,0,0,0,0,0
3872124,5,большое спасибо александру за оперативность и профессионализм,Нравится качество работы сотрудников,0,0,1,0,0,0
3873692,5,оперативно и качественно спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3875262,5,благодарю всего доброго,Вопрос решен,1,0,0,0,0,0
3877334,3,к мастеру вопросов нет,Нравится качество работы сотрудников,0,0,1,0,0,0
3877901,5,мастер быстро решил проблему всё исправил очень довольна спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3878088,5,вытяжка заработала спасибо отдельное спасибо мастеру который сообщил что нет причин препятствующих подключению вытяжки к домовой вентиляции,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3878555,5,спасибо большое надолго ли,Вопрос решен,1,0,0,0,0,0
3879856,5,всё очень четко организовано большое спасибо за работу,Понравилось выполнение заявки,0,0,0,0,1,0
3880345,5,спасибо вам большое и за дверь и за номера квартир,Понравилось выполнение заявки,0,0,0,0,1,0
3880717,3,снимаю звезду за первую отписку без выполнения работ,Другое,0,0,0,0,0,1
3881004,5,в день создания заявки рабочие оперативно пришли и весь ужас убрали огромная благодарность,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3881460,5,спасибо все заработало,Понравилось выполнение заявки,0,0,0,0,1,0
3881636,5,спасибо решили мой вопрос на месте в офисе,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3882840,5,спасибо больше ольге птушкине за проделанную работу,Нравится качество работы сотрудников,0,0,1,0,0,0
3883200,5,всё сделали хорошо починили вовремя наверное молодцы,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3883549,5,супер спасибо,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3883658,5,отлично все выполнили как и обещали,Понравилось выполнение заявки,0,0,0,0,1,0
3883736,5,очень оперативно спасибо большое,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3883745,5,мастер андрей помог подобрать оборудование краны переходники для подключения быстро и качественно произвел подключение стиральной машинки огромное ему спасибо,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3884964,5,умело подкрутили редукторы давления молодец,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3885089,5,все хорошо дверь практически бесшумно закрывается,Понравилось выполнение заявки,0,0,0,0,1,0
3886150,5,проблемы как таковой не было я в процессе поиска страх компании и всего лишь спасибо сотрудникам,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3886231,5,быстро чётко без проблем одно слово мастер,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3886721,5,работает спасибо,Вопрос решен,1,0,0,0,0,0
3886923,5,сегодня ездил все исправно работает спасибо,Вопрос решен,1,0,0,0,0,0
3886937,5,спасибо большое всё понятно,Вопрос решен,1,0,0,0,0,0
3887002,5,татьяна спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3887203,5,на вопрос ответили крепления нельзя повесить в колясочной,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3887228,5,большое спасибо,Вопрос решен,1,0,0,0,0,0
3887353,5,лучший,Вопрос решен,1,0,0,0,0,0
3887392,5,спасибо за то что быстро отреагировали,Нравится скорость отработки заявок,0,0,0,1,0,0
3887422,5,сервис на высоте мастер профессионал,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3887606,1,ок,Другое,0,0,0,0,0,1
3887614,2,надолго ли,Другое,0,0,0,0,0,1
3887743,5,спасибо все работает,Вопрос решен,1,0,0,0,0,0
3887844,5,заявка выполнена спасибо,Нравится качество выполнения заявки,0,1,0,0,0,0
3887922,5,дверь закрывается намного лучше,"{""choices"":[""Понравилось выполнение заявки"",""Вопрос решен""]}",1,0,0,0,1,0
3888009,5,спасибо за быстрое реагирование,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3888318,5,оперативно сработали благодарю,Нравится скорость отработки заявок,0,0,0,1,0,0
3888354,5,спасибо сантехнику алексею все сделано качественно,Нравится качество работы сотрудников,0,0,1,0,0,0
3888539,5,огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику прибывшему в воскресенье через минут после написания заявки все решилось наилучшим образом вот так бы все вопросы оперативно решались,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3888591,5,очень оперативно и никуда не пришлось ходить,Нравится скорость отработки заявок,0,0,0,1,0,0
3888606,5,проблема решена,Вопрос решен,1,0,0,0,0,0
3888633,5,очень оперативно отреагировали спасибо,Нравится скорость отработки заявок,0,0,0,1,0,0
3888794,5,оперативно качественно вопросов не возникло спасибо,Нравится скорость отработки заявок,0,0,0,1,0,0
3888828,5,благодарю за оперативность,Понравилось выполнение заявки,0,0,0,0,1,0
3889213,5,спасибо за оперативное решение проблемы,Нравится скорость отработки заявок,0,0,0,1,0,0
3889473,1,оперативная работа,Нравится скорость отработки заявок,0,0,0,1,0,0
3889502,5,оперативное решение проблемы,Понравилось выполнение заявки,0,0,0,0,1,0
3889542,5,первый раз вы решили вопрос быстро,Нравится скорость отработки заявок,0,0,0,1,0,0
3889783,5,отлично спасибо,Вопрос решен,1,0,0,0,0,0
3889827,5,спасибо большое татьяна,Нравится качество работы сотрудников,0,0,1,0,0,0
3889956,5,лучший мастер на свете спасибо большое,Нравится качество работы сотрудников,0,0,1,0,0,0
3890030,5,спасибо большое что починили домофон,Понравилось выполнение заявки,0,0,0,0,1,0
3890209,5,отличная работа,Вопрос решен,1,0,0,0,0,0
3890231,5,спасибо огромное за помощь,Понравилось выполнение заявки,0,0,0,0,1,0
3890239,5,обычная услуга цена правда завышена за около ти минут работы,Вопрос решен,1,0,0,0,0,0
3890275,5,отличная работа теперь дверь закрывается плавно спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3890393,5,все супер быстро спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}",1,0,0,1,0,0
3890484,5,оперативно спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3890486,5,супер,Понравилось выполнение заявки,0,0,0,0,1,0
3890517,5,молодцы оперативно,Понравилось выполнение заявки,0,0,0,0,1,0
3890604,5,вопрос решился быстро спасибо,Нравится скорость отработки заявок,0,0,0,1,0,0
3890678,5,александру спасибо за объяснение причины бульканья,Нравится качество работы сотрудников,0,0,1,0,0,0
3890716,5,спасибо всё быстро,Понравилось выполнение заявки,0,0,0,0,1,0
3890985,5,спасибо исправили мою ошибку,Понравилось выполнение заявки,0,0,0,0,1,0
3891095,5,мастер сделал все очень быстро и аккуратно,Нравится качество работы сотрудников,0,0,1,0,0,0
3891325,5,очень вежливый и профессиональный мастер устранил все недочеты оперативно и качественно просто отлично спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3891380,5,иван огромное спасибо вам,Нравится качество работы сотрудников,0,0,1,0,0,0
3891477,5,среагировали за минут,Понравилось выполнение заявки,0,0,0,0,1,0
3891489,5,спасибо специалисту роману который помог мне наконец то решить мой вопрос очень грамотный и вежливый специалист,Нравится качество работы сотрудников,0,0,1,0,0,0
3891568,5,спасибо в тот же день электрик решил проблему,Нравится качество работы сотрудников,0,0,1,0,0,0
3891612,5,лифт и полы помыли большое спасибо за уборку ждём установку зеркал в лифтах,Нравится качество работы сотрудников,0,0,1,0,0,0
3891850,5,да все верно спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3891871,5,спасибо всё бистро устранили,Понравилось выполнение заявки,0,0,0,0,1,0
3891943,4,спасибо вроде бы стало лучше,Вопрос решен,1,0,0,0,0,0
3892115,5,спасибо большое за вашу быструю и профессиональную помощь,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3892189,5,все быстро не смотря на поздний час,Нравится скорость отработки заявок,0,0,0,1,0,0
3892432,5,ответ был предоставлен оперативно и в полном объеме,Нравится скорость отработки заявок,0,0,0,1,0,0
3892474,5,спасибо огромное напор стал отличным,Нравится качество работы сотрудников,0,0,1,0,0,0
3892548,5,спасибо там правда все убрали и стало прям чисто если можете еще отмыть пятна чего то буду очень вам признателен возможно там нужна не только тряпка,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3892589,5,сделали,Вопрос решен,1,0,0,0,0,0
3892591,5,спасибо мастеру сергею за четкую работу,Нравится качество работы сотрудников,0,0,1,0,0,0
3892629,4,наконец то очень надеюсь что через дня он не встанет снова,Вопрос решен,1,0,0,0,0,0
3892632,5,благодарим очень оперативно,Понравилось выполнение заявки,0,0,0,0,1,0
3892659,5,быстро мастеру большое спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3892748,5,вопрос решен быстро спасибо мастеру фото выполненной работы приложил и даже позвонил,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3892858,5,главное что проблема решена спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3892909,5,спасибо все сделали быстро очень вежливые сотрудники,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3892910,5,спасибо что решили проблему оперативно,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3893074,5,оперативно внимательно вежливо спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3893110,5,спасибо всё оперативно сделали,Нравится скорость отработки заявок,0,0,0,1,0,0
3893437,5,была распечатана бумажная квитанция хочу поблагодарить работника расчетного отдела за разьяснения по квитанции и как найти электронный вариант квитанции в приложение самолет ук,Нравится качество работы сотрудников,0,0,1,0,0,0
3893476,5,заявка быстра принята в работу проблема решена спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3893532,5,молодцы быстро,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3893735,5,спасибо большое за оперативность,Нравится скорость отработки заявок,0,0,0,1,0,0
3893860,5,спасибо большое всех благ и процветание вашей компании,Понравилось выполнение заявки,0,0,0,0,1,0
3893967,5,спасибо электрику,Нравится качество работы сотрудников,0,0,1,0,0,0
3894064,5,всё грамотно по полочкам объяснил,Нравится качество выполнения заявки,0,1,0,0,0,0
3894130,5,благодарю за быстро и качественно оказанную услугу,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894191,5,спасибо за оперативное решение вопроса,Нравится скорость отработки заявок,0,0,0,1,0,0
3894326,5,огромное спасибо быстро и качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894440,5,спасибо за ремонт,Нравится качество работы сотрудников,0,0,1,0,0,0
3894680,5,благодарю менеджера татьяну,Нравится качество работы сотрудников,0,0,1,0,0,0
3894684,5,благодарю менеджера,Нравится качество работы сотрудников,0,0,1,0,0,0
3894714,5,сотрудники молодцы,Нравится качество работы сотрудников,0,0,1,0,0,0
3894893,5,оперативно и качественно браво,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3894902,5,спасибо огромное оперативно и качественно решили проблему,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3895042,5,поднималась сегодня с утра запаха нет совсем спасибо большое,Понравилось выполнение заявки,0,0,0,0,1,0
3895051,5,специалист проконсультировал сориентировал по срокам,Нравится качество работы сотрудников,0,0,1,0,0,0
3895064,5,спасибо быстро и качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3895519,5,быстро и оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3895624,5,оперативно пока работает,Нравится скорость отработки заявок,0,0,0,1,0,0
3895634,5,лика спасибо вам за оперативный ответ и подробные разъяснения по работе с приложением,Нравится качество работы сотрудников,0,0,1,0,0,0
3895794,5,отличный сотрудник,Нравится качество работы сотрудников,0,0,1,0,0,0
3895805,5,спасибо мастеру олегу,Нравится качество работы сотрудников,0,0,1,0,0,0
3895874,5,для точной оценки нужно пережить зиму и понять лучше стало или нет,Вопрос решен,1,0,0,0,0,0
3895925,5,спасибо большое за оперативность уже оценили песочек очень хороший чистый дети были очень рады что в песочнице достаточное количество песка,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3896179,5,быстро качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3896191,5,спасибо большое всё решили быстро,Нравится скорость отработки заявок,0,0,0,1,0,0
3896230,5,оперативно быстро,Нравится скорость отработки заявок,0,0,0,1,0,0
3896480,5,оказали не только услугу по приобретению ключа но ещё установили приложение ук самолёт,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3896509,5,приходил мастер все отрегулировал большое спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3896614,5,оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3896717,5,спасибо за консультацию,Понравилось выполнение заявки,0,0,0,0,1,0
3896735,5,парни установщики отработали на а вот упаковка не очень тк не полный комплект фурнитуры отсутствовали в комплекте нижняя ответка пришлось колхозить и отпиливать кусок от старой ответки а также шурупы отсутствовали,Вопрос решен,1,0,0,0,0,0
3896818,5,спасибо всё хорошо,Вопрос решен,1,0,0,0,0,0
3896822,5,все ок,Вопрос решен,1,0,0,0,0,0
3896870,5,сразу бы так,Вопрос решен,1,0,0,0,0,0
3896928,5,ответ получен спасибо что результатом стало уточнение и меня поняли,Нравится качество выполнения заявки,0,1,0,0,0,0
3896945,5,благодарю за обратную связь за возможность добавить необходимый документ в лк приложения и тем самым решить вопрос не посещая клиентский офис при звонке было вежливое доброжелательное отношение,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3896981,5,прислали на следующий день,Другое,0,0,0,0,0,1
3897000,5,очень быстро отреагировали работа качественная,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3897003,1,ну устранено,Другое,0,0,0,0,0,1
3897016,5,спасибо за подсказки и внимательное отношение,"{""choices"":[""Нравится качество работы сотрудников"",""Понравилось выполнение заявки""]}",0,0,1,0,1,0
3897067,5,сантехник связался сразу вопрос решен,"{""choices"":[""Нравится качество работы сотрудников"",""Вопрос решен""]}",1,0,1,0,0,0
3897113,5,спасибо технику,Нравится качество работы сотрудников,0,0,1,0,0,0
3897118,5,благодарю всё отлично,Понравилось выполнение заявки,0,0,0,0,1,0
3897201,5,сантехник был,Нравится качество работы сотрудников,0,0,1,0,0,0
3897252,5,подсказали куда обратиться для решения вопроса,Понравилось выполнение заявки,0,0,0,0,1,0
3897281,5,спасибо большое за информацию татьяна молодец,Нравится качество работы сотрудников,0,0,1,0,0,0
3897654,5,электрик пришёл в день обращения снял показания счеткик работает сотрудник вежливый благодарю,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3897730,5,все было сделано быстро и качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3897831,5,напор стал гораздо сильнее небо и земля быстро поняли причину слабого напора спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3898045,5,спасибо за вашу работу вычислить бы кто вырвал предыдущий доводчик и наказать а вам спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3898232,5,да открыла спасибо,Вопрос решен,1,0,0,0,0,0
3898417,5,быстро позвонили пришли все сделали спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3898427,5,молодцы очень оперативно прям минус одна головная боль,Нравится скорость отработки заявок,0,0,0,1,0,0
3898572,5,очень быстро качественно спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3898709,5,спасибо большое за разъяснения и за оперативность,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3898761,5,сотрудники работают на мгновенно обрабатываются заявки ответ поступает сразу и всё решается отличный сервис очень приятно,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3898762,5,быстро и понятно,Нравится скорость отработки заявок,0,0,0,1,0,0
3899012,5,просто и удобно а также быстро и экономия времени и ресурсов,"{""choices"":[""Нравится скорость отработки заявок"",""Понравилось выполнение заявки""]}",0,0,0,1,1,0
3899842,5,отлично все сделано балов,Понравилось выполнение заявки,0,0,0,0,1,0
3899902,4,четвёрка за то что выслали только со второго раза нужную квитанцию,Вопрос решен,1,0,0,0,0,0
3900150,5,спс,Вопрос решен,1,0,0,0,0,0
3900408,5,спасибо большое все получила,Понравилось выполнение заявки,0,0,0,0,1,0
3900525,5,спасибо очень оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3900539,5,благодарю мастера всё объяснил и дал рекомендации,Нравится качество работы сотрудников,0,0,1,0,0,0
3900559,5,ребята молодцы,Нравится качество работы сотрудников,0,0,1,0,0,0
3900602,5,спасибо за оперативное решение,Нравится скорость отработки заявок,0,0,0,1,0,0
3900869,5,большое спасибо мастеру,Нравится качество работы сотрудников,0,0,1,0,0,0
3900886,5,к оказанию самой услуги и сантехнику претензий нет а вот то что отключения происходят регулярно крайне негативно сказывается на впечатление о компании самолет ук,Нравится качество работы сотрудников,0,0,1,0,0,0
3901101,5,специалист компетентно объяснил что необходимо сделать таких случаях игорь золотухин,Нравится качество работы сотрудников,0,0,1,0,0,0
3901168,5,быстро и чётко,Нравится скорость отработки заявок,0,0,0,1,0,0
3901182,5,всё хорошо,Понравилось выполнение заявки,0,0,0,0,1,0
3901194,5,владимир грамотно и здорово и быстро все сделал,Нравится качество работы сотрудников,0,0,1,0,0,0
3901238,5,отличный сервис,Нравится качество выполнения заявки,0,1,0,0,0,0
3901257,5,спасибо сервис работает это самое главное,Нравится качество выполнения заявки,0,1,0,0,0,0
3901356,5,все отлично позвонили ответ предоставили,Понравилось выполнение заявки,0,0,0,0,1,0
3901414,5,заявка была отработана в течение ти минут благодарю за оперативность,Нравится скорость отработки заявок,0,0,0,1,0,0
3901446,5,оперативное решение спасибо,Нравится скорость отработки заявок,0,0,0,1,0,0
3901616,5,татьяна оперативно решила вопрос очень отзывчивая,Нравится качество работы сотрудников,0,0,1,0,0,0
3901836,5,все гуд,Вопрос решен,1,0,0,0,0,0
3901987,5,поприветствовали предложили присесть всё быстро оформили спасибо,"{""choices"":[""Нравится скорость отработки заявок"",""Вопрос решен""]}",1,0,0,1,0,0
3902000,4,спасибо что убрали надпись думал будет аккуратнее,Вопрос решен,1,0,0,0,0,0
3902088,5,все быстро и четко,Нравится качество выполнения заявки,0,1,0,0,0,0
3902093,5,добрый день заявка была выполнена качественно сотрудники грамотные очень вежливые большое им спасибо,"{""choices"":[""Нравится качество выполнения заявки"",""Нравится качество работы сотрудников""]}",0,1,1,0,0,0
3902383,5,спасибо за помощь от подключившихся инженеров,Нравится качество работы сотрудников,0,0,1,0,0,0
3902482,5,замечательный мастер все очень оперативно и качественно добрый человек с золотыми руками огромное спасибо,Нравится качество работы сотрудников,0,0,1,0,0,0
3902496,5,благодарю хотя я уже давно просила и получаю на эл почту но почему то ещё и бумажные получала,Понравилось выполнение заявки,0,0,0,0,1,0
3902529,5,вопрос был решен оперативно спасибо большое,Нравится скорость отработки заявок,0,0,0,1,0,0
3902558,5,молодцы,Вопрос решен,1,0,0,0,0,0
3902632,5,все ок спасибо,Вопрос решен,1,0,0,0,0,0
3902786,5,красавцы быстро оперативно очень приятно в общении,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3902795,5,хорошее обслуживание,Нравится качество выполнения заявки,0,1,0,0,0,0
3903272,5,оперативно как всегда,Нравится скорость отработки заявок,0,0,0,1,0,0
3903349,5,большое спасибо оперативно поставили ограничители,Нравится скорость отработки заявок,0,0,0,1,0,0
3903374,4,одну звезду сняла за то что отличается цвет плитки,Вопрос решен,1,0,0,0,0,0
3903406,5,спасибо быстро и оперативно,Нравится скорость отработки заявок,0,0,0,1,0,0
3903436,5,горячая вода появилась,Вопрос решен,1,0,0,0,0,0
3903607,5,вот теперь молодцы,Вопрос решен,1,0,0,0,0,0
3903626,5,все отлично бистро устранили мастер хороши,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3903666,5,спасибо проблема была решена,Понравилось выполнение заявки,0,0,0,0,1,0
3903709,5,спасибо за оперативность и грамотный развёрнутый ответ,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3903741,5,спасибо большое заявка выполнена быстро и качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3903997,5,выполнено быстро и качественно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки""]}",0,1,0,1,0,0
3904073,5,всё понятно объяснили,Понравилось выполнение заявки,0,0,0,0,1,0
3904265,5,большое спасибо василию за проделанную работу,Нравится качество работы сотрудников,0,0,1,0,0,0
3904421,5,благодарю помогли а то до вас никто не мог решить эту проблему еще раз спасибо,Понравилось выполнение заявки,0,0,0,0,1,0
3904489,5,очень оперативно менеджер связался ответил на вопросы и отправил необходимые документы благодарю,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество работы сотрудников""]}",0,0,1,1,0,0
3904503,5,быстро отреагировали запустили,Нравится скорость отработки заявок,0,0,0,1,0,0
3904606,5,спасибо оперативно приняли заявку и отремонтировали лифт работает исправно,"{""choices"":[""Нравится скорость отработки заявок"",""Нравится качество выполнения заявки"",""Понравилось выполнение заявки""]}",0,1,0,1,1,0
